1.2056,2.689,4.3144,5.938,7.5265,9.0601,10.522,11.896,13.167,14.323,15.352,16.246,17.003,17.622,18.112,18.481,18.746,18.922,19.026,19.072,19.068,19.017,18.914,18.747,18.501,18.156,17.692,17.092,16.342,15.435,14.37,13.154,11.803,10.339,8.79,7.1945,5.5953,4.0434,2.5998,1.3463,0.43879
1.1471,2.5587,4.1059,5.6521,7.1659,8.6289,10.025,11.34,12.559,13.671,14.664,15.531,16.269,16.878,17.365,17.738,18.012,18.202,18.323,18.387,18.404,18.374,18.292,18.149,17.926,17.607,17.17,16.599,15.881,15.008,13.98,12.804,11.493,10.07,8.5645,7.0117,5.4542,3.9421,2.535,1.3128,0.4279
1.0894,2.43,3.8999,5.3694,6.8091,8.2016,9.5322,10.787,11.953,13.019,13.975,14.813,15.53,16.127,16.608,16.983,17.264,17.465,17.601,17.682,17.717,17.707,17.647,17.526,17.327,17.032,16.623,16.083,15.397,14.56,13.57,12.434,11.166,9.7874,8.3266,6.8188,5.3054,3.8351,2.4666,1.2775,0.4164
1.0327,2.3037,3.6974,5.0914,6.4579,7.7806,9.0458,10.241,11.353,12.372,13.289,14.096,14.79,15.372,15.846,16.22,16.506,16.716,16.864,16.961,17.013,17.022,16.982,16.881,16.706,16.436,16.055,15.544,14.892,14.092,13.141,12.047,10.824,9.4911,8.0774,6.6165,5.1492,3.723,2.3948,1.2404,0.40434
0.97731,2.1802,3.4995,4.8194,6.1139,7.3678,8.5684,9.7036,10.762,11.734,12.611,13.386,14.055,14.62,15.084,15.455,15.743,15.96,16.119,16.229,16.296,16.322,16.3,16.22,16.067,15.822,15.468,14.988,14.37,13.606,12.696,11.645,10.468,9.1827,7.8177,6.4058,4.9865,3.606,2.3199,1.2018,0.39175
0.9234,2.06,3.3068,4.5545,5.7786,6.965,8.1019,9.1781,10.183,11.108,11.943,12.685,13.328,13.875,14.327,14.692,14.98,15.202,15.369,15.49,15.571,15.611,15.606,15.545,15.413,15.192,14.865,14.415,13.831,13.105,12.236,11.23,10.099,8.8635,7.5488,6.1874,4.8178,3.4848,2.2422,1.1617,0.3787
0.87115,1.9435,3.1199,4.2974,5.453,6.5735,7.648,8.666,9.618,10.495,11.29,11.997,12.614,13.139,13.578,13.936,14.221,14.446,14.619,14.749,14.841,14.895,14.905,14.862,14.749,14.551,14.25,13.83,13.28,12.592,11.764,10.803,9.7203,8.5349,7.2718,5.9624,4.6438,3.3597,2.1621,1.1203,0.36523
0.82068,1.8309,2.9393,4.0488,5.138,6.1945,7.2081,8.1692,9.0689,9.8991,10.653,11.325,11.914,12.418,12.841,13.19,13.471,13.696,13.873,14.009,14.111,14.176,14.2,14.172,14.079,13.902,13.626,13.236,12.719,12.068,11.282,10.367,9.3328,8.1984,6.988,5.7317,4.4654,3.2314,2.0799,1.0778,0.3514
0.77207,1.7225,2.7652,3.8092,4.8342,5.8287,6.7832,7.6888,8.5374,9.3213,10.034,10.672,11.232,11.713,12.12,12.458,12.733,12.956,13.135,13.276,13.385,13.459,13.495,13.482,13.405,13.249,12.997,12.635,12.151,11.537,10.793,9.9234,8.9384,7.8557,6.6987,5.4964,4.2834,3.1004,1.9959,1.0344,0.33727
0.72539,1.6184,2.5981,3.579,4.5422,5.4768,6.3741,7.2259,8.0246,8.7633,9.4361,10.039,10.57,11.028,11.417,11.742,12.01,12.23,12.408,12.553,12.666,12.749,12.794,12.793,12.732,12.595,12.366,12.031,11.579,11.002,10.299,9.4749,8.5391,7.5085,6.4053,5.2575,4.0985,2.9673,1.9106,0.99028,0.3229
0.68068,1.5186,2.4379,3.3583,4.2621,5.1392,5.9815,6.7812,7.5315,8.226,8.8593,9.4278,9.9294,10.364,10.735,11.047,11.306,11.52,11.697,11.842,11.959,12.047,12.101,12.11,12.063,11.943,11.736,11.427,11.006,10.465,9.803,9.0238,8.137,7.1583,6.1092,5.0163,3.9117,2.8327,1.8242,0.94566,0.30837
0.63795,1.4233,2.2848,3.1474,3.9943,4.8162,5.6055,6.3551,7.0586,7.7102,8.3051,8.8398,9.3125,9.7236,10.076,10.373,10.622,10.83,11.003,11.148,11.267,11.359,11.418,11.437,11.401,11.297,11.11,10.826,10.435,9.9288,9.3068,8.5721,7.7339,6.807,5.8119,4.774,3.7238,2.6973,1.7374,0.90075,0.29375
0.5972,1.3323,2.1388,2.9461,3.7387,4.5078,5.2464,5.9479,6.6064,7.2166,7.774,8.2756,8.7199,9.1072,9.4399,9.7224,9.9604,10.161,10.329,10.472,10.591,10.685,10.749,10.775,10.75,10.66,10.492,10.231,9.8682,9.3963,8.8132,8.1222,7.3319,6.4563,5.5148,4.5316,3.5359,2.5618,1.6504,0.85575,0.27909
0.55841,1.2458,1.9998,2.7544,3.4953,4.214,4.9042,5.5596,6.1749,6.7452,7.2665,7.736,8.1524,8.5162,8.8296,9.0967,9.323,9.5147,9.6779,9.8171,9.9348,10.03,10.097,10.128,10.112,10.035,9.8836,9.645,9.3093,8.8699,8.3246,7.6763,6.933,6.1079,5.2194,4.2904,3.3487,2.4268,1.5637,0.81089,0.26448
